State,State Code,Winner,Electoral Votes
Alabama,AL,Trump,9
Alaska,AK,Trump,3
Arizona,AZ,Biden,11
Arkansas,AR,Trump,6
California,CA,Biden,55
Colorado,CO,Biden,9
Connecticut,CT,Biden,7
Delaware,DE,Biden,3
District of Columbia,DC,Biden,3
Florida,FL,Trump,29
Georgia,GA,Biden,16
Hawaii,HI,Biden,4
Idaho,ID,Trump,4
Illinois,IL,Biden,20
Indiana,IN,Trump,11
Iowa,IA,Trump,6
Kansas,KS,Trump,6
Kentucky,KY,Trump,8
Louisiana,LA,Trump,8
Maine,ME,Biden,4
Maryland,MD,Biden,10
Massachusetts,MA,Biden,11
Michigan,MI,Biden ,16
Minnesota,MN,Biden,10
Mississippi,MS,Trump,6
Missouri,MO,Trump,10
Montana,MT,Trump,3
Nebraska,NE,Trump,5
Nevada,NV,Biden ,6
New Hampshire,NH,Biden ,4
New Jersey,NJ,Biden ,14
New Mexico,NM,Biden ,5
New York,NY,Biden ,29
North Carolina,NC,Trump,15
North Dakota,ND,Trump,3
Ohio,OH,Trump,18
Oklahoma,OK,Trump,7
Oregon,OR,Biden,7
Pennsylvania,PA,Biden,20
Rhode Island,RI,Biden,4
South Carolina,SC,Trump,9
South Dakota,SD,Trump,3
Tennessee,TN,Trump,11
Texas,TX,Trump,38
Utah,UT,Trump,6
Vermont,VT,Biden,3
Virginia,VA,Biden,13
Washington,WA,Biden,12
West Virginia,WV,Trump,5
Wisconsin,WI,Biden,10
Wyoming,WY,Trump,3
